"product_id";"product_name";"aisle_id";"department_id"
17615;"Calcium Pulp Free Orange Juice";31;7
17616;"Goldfish Cheddar Baked Snack Crackers";78;19
17708;"Organic Corn Tortillas";128;3
17858;"Everyday 2 Ply Premium Napkins";54;17
17948;"Frozen Organic Wild Blueberries";116;1
18110;"Rice Crackers Sesame";78;19
18159;"Organic Biologique Limes";123;4
18288;"Sea Salt Potato Chips";107;19
18352;"Flax Plus Organic Pumpkin Flax Granola";57;14
18389;"Blood Orange Italian Soda";77;7
18439;"Sliced Sourdough Bread";112;3
18531;"Organic Heavy Whipping Cream";53;16
18811;"Organic Apple Juice";98;7
18963;"Apple Cider Vinegar";19;13
19057;"Organic Large Extra Fancy Fuji Apple";24;4
19204;"Organic Heritage Flakes Cereal";121;14
19348;"Fat Free Milk";84;16
19370;"Roasted Tomato Salsa";51;13
19542;"Organic Green Superfood Chocolate Chip Coconut Bar";3;19
19677;"Original Pure Creamy Almond Milk";91;16
19678;"Organic Russet Potato";83;4
19691;"Green Seedless Grapes";32;4
19816;"Sonoma Traditional Flour Tortillas 10 Count";128;3
19820;"Grassmilk 2% Reduced Fat Milk";84;16
20052;"Organic Cinnamon Sticks";104;13
20114;"Jalapeno Peppers";83;4
20320;"Lactose and Fat Free Milk";84;16
20598;"Thousand Island Salad Snax";50;19
20738;"Plain Bagels";93;3
20985;"Trail Mix Fruit & Nut Chewy Granola Bars";3;19
20995;"Organic Broccoli Florets";116;1
21009;"Crispy Wheat, Crackers";78;19
21137;"Organic Strawberries";24;4
21295;"Organic Spaghetti Squash";83;4
21329;"Organic Hearty Split Pea & Uncured Ham Soup";69;15
21333;"Original Whipped Cream Cheese";108;16
21376;"Pretzel Crisps Original Deli Style Pretzel Crackers";107;19
21387;"Non-Fat Vanilla Yogurt";120;16
21405;"Organic Red Radish, Bunch";83;4
21449;"Teriyaki Chick'n Strips";42;1
21553;"Lowfat 2% Milkfat Cottage Cheese";108;16
21607;"Gluten Free Vanilla Granola";57;14
21903;"Organic Baby Spinach";123;4
21936;"Vegetarian Refried Beans";59;15
22035;"Organic Whole String Cheese";21;16
22124;"Total 0% Raspberry Yogurt";120;16
22236;"Cookies Traypack";61;19
22275;"Sriracha Hot Chili Sauce";66;6
22565;"Disinfecting Wipes, Lemon Scent";114;17
22672;"Pasta Zero Spaghetti Shirataki Noodles";14;20
22750;"Finely Shredded Mild Cheddar Cheese";21;16
22849;"Bunny-Luv Fresh Organic Carrots";123;4
22888;"90% Lean Ground Beef";122;12
22935;"Organic Yellow Onion";83;4
22959;"Reduced Fat Milk 100% Lactose Free";91;16
22963;"Organic Roasted Turkey Breast";96;20
23037;"Singles Pepperoni French Bread Pizzas";79;1
23039;"Fat Free Cream Cheese";108;16
23102;"Organic 1% Milk";84;16
23147;"Gut Shot Classic";110;13
23554;"Organic Vanilla Bean Ice Cream";37;1
23955;"Vanilla Soy Milk";91;16
24333;"Peach Mango Iced Green Tea";94;7
24372;"Organic Free Range Chicken with White & Wild Rice Soup";69;15
24382;"Ranch Dressing";89;13
24600;"Extra Strength Assorted Fruit Antacid";70;11
24810;"Organic Lightly Salted Brown Rice Cakes";78;19
24830;"Organic Romaine";123;4
24838;"Unsweetened Almondmilk";91;16
24841;"Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs";107;19
24852;"Banana";24;4
24928;"Cocoa & Vanilla Bunny Cookies Gluten Free Bunny Cookies Gluten Free";61;19
24964;"Organic Garlic";83;4
25043;"Instant Oatmeal Variety Pack";130;14
25093;"Colby Jack Cheese";21;16
25197;"Iced Oatmeal Cookie Kid Z Bar";3;19
25544;"Fresh Cut Golden Sweet Whole Kernel Corn";81;15
25551;"Big Sur Breakfast Burrito";52;1
25557;"Black Tie Frosted Cupcake";8;3
25630;"Healthy Grains Fiber Cinnamon Oat Clusters";57;14
25890;"Boneless Skinless Chicken Breasts";49;12
25936;"EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal";121;14
26032;"Dairy Free Mozarella Style Shreds";21;16
26040;"Deli Fresh Honey Ham, 97% Fat Free, Gluten Free";96;20
26188;"Scrubbing Bubbles Lemon Power All Purpose Disinfectant Cleaner";114;17
26250;"Mini Pancakes";52;1
26283;"White Corn";83;4
26456;"Italian Pizza Crust Original 12oz";128;3
26620;"Peach Pear Flavored Sparkling Water";115;7
26756;"Light CocoWhip! Coconut Whipped Topping";6;2
26767;"No Calorie Sweetener Packets";17;13
26940;"Organic Large Green Asparagus";83;4
27104;"Fresh Cauliflower";83;4
27521;"Organic Lacinato (Dinosaur) Kale";83;4
27582;"Dark Chocolate Minis";45;19
27663;"GOLEAN Crunch! Cereal";121;14
27683;"Black Beans No Salt Added";59;15
27845;"Organic Whole Milk";84;16
27872;"Zero Calorie Iced Green Tea Raspberry";94;7
27966;"Organic Raspberries";123;4
27985;"Smartwater Electrolyte Enhanced Water";115;7
28137;"Chicken & Vegetable Dumplings Potstickers";129;1
28289;"Organic Shredded Carrots";123;4
28307;"Soft Taco Whole Wheat Tortillas";128;3
28427;"Vitamin D Whole Milk";84;16
28476;"Organic Small Curd Cottage Cheese";108;16
28599;"Flavor Variety Instant Oatmeal";130;14
28601;"Collard Greens";83;4
28842;"Bunched Cilantro";16;4
28928;"Uncured Black Forest Ham";96;20
29126;"Organic Strawberry Chia Lowfat 2% Cottage Cheese";108;16
29228;"Original Traditional Dijon Mustard";72;13
29265;"Traditional Lavash Flatbread";128;3
29274;"Mung Bean Sprouts";123;4
29307;"Baby Arugula";123;4
29672;"Lactose Free Low Fat Vanilla Yogurt";120;16
29824;"Gluten Free Margherita Pizza";79;1
30169;"Total 2% All Natural Plain Greek Yogurt";120;16
30233;"Organic Large Brown Grade AA Cage Free Eggs";86;16
30661;"Lower Sugar Maple & Brown Sugar Instant Oatmeal";130;14
30696;"Eggo Homestyle Waffles";52;1
30726;"Organic Assam Black Tea";94;7
30776;"Organic Raw Kombucha Gingerade";31;7
30795;"Sesame Seaweed Salad";13;20
30909;"Telera Rolls";43;3
31238;"Blue Corn Tortilla Chips";107;19
31338;"Classic Almond Butter";88;13
31553;"Fresh Ginger Root";83;4
31670;"Buttermilk Complete Pancake Mix";130;14
31717;"Organic Cilantro";16;4
31805;"Gourmet Tomato Medley";32;4
31829;"Creme De Menthe Thins";45;19
31869;"Organic Edamame";116;1
31915;"Organic Red Delicious Apple";24;4
32226;"Milk Chocolate English Toffee Miniatures Candy Bars";45;19
32303;"Red Seedless Grapes";24;4
32486;"Shredded 3 Cheese Blend";21;16
32689;"Romaine Hearts";123;4
32738;"Brown Basmati Ready Rice";4;9
32818;"Organic Pink Lemonade Bunny Fruit Snacks";50;19
